occ_year,T_k
(occ2_management)_2010,
(occ2_management)_2011,0.8504429930149433
(occ2_management)_2012,0.8548189608453688
(occ2_management)_2013,0.8553497730234018
(occ2_management)_2014,0.8542727577131558
(occ2_management)_2015,0.8522616904865061
(occ2_management)_2016,0.8492213736812009
(occ2_management)_2017,0.8508524724115484
(occ2_management)_2018,0.8501291519156651
(occ2_management)_2019,0.8495657597459148
(occ2_primary)_2010,0.08271401839002485
(occ2_primary)_2011,0.07186213340147904
(occ2_primary)_2012,0.07232325177788906
(occ2_primary)_2013,0.07050330691094753
(occ2_primary)_2014,0.07051279607668824
(occ2_primary)_2015,0.0687475313021982
(occ2_primary)_2016,0.06840408053285871
(occ2_primary)_2017,0.06528809774067298
(occ2_primary)_2018,0.06637448971034672
(occ2_primary)_2019,0.06620574314601542
(occ2_professional)_2010,0.7486958752588251
(occ2_professional)_2011,0.65240838594731
(occ2_professional)_2012,0.6611907450611647
(occ2_professional)_2013,0.6678520040701573
(occ2_professional)_2014,0.6811270704964566
(occ2_professional)_2015,0.6818394550501482
(occ2_professional)_2016,0.6908916331757821
(occ2_professional)_2017,0.6906117874445439
(occ2_professional)_2018,0.7092382977128848
(occ2_professional)_2019,0.7436065060321753
(occ2_sales)_2010,0.42572320376368555
(occ2_sales)_2011,0.3596065972275034
(occ2_sales)_2012,0.359442187205328
(occ2_sales)_2013,0.3522120503675785
(occ2_sales)_2014,0.34922636927636314
(occ2_sales)_2015,0.3415131261389244
(occ2_sales)_2016,0.338346587710278
(occ2_sales)_2017,0.3268420393307501
(occ2_sales)_2018,0.3262487702405064
(occ2_sales)_2019,0.31846058658312026
(occ2_trades)_2010,0.7348279842084844
(occ2_trades)_2011,0.626699268005265
(occ2_trades)_2012,0.6205377507675145
(occ2_trades)_2013,0.6131423160048883
(occ2_trades)_2014,0.6102649893608819
(occ2_trades)_2015,0.6051276315307887
(occ2_trades)_2016,0.5996133936809405
(occ2_trades)_2017,0.5929660865940165
(occ2_trades)_2018,0.6019898306316439
(occ2_trades)_2019,0.6103799036043462
(occ3_cleaners)_2010,0.11283311162205106
(occ3_cleaners)_2011,0.09973503504704602
(occ3_cleaners)_2012,0.0987963401636616
(occ3_cleaners)_2013,0.0981878101469019
(occ3_cleaners)_2014,0.09878060041331345
(occ3_cleaners)_2015,0.0932929171272108
(occ3_cleaners)_2016,0.09479704686908853
(occ3_cleaners)_2017,0.09295587725849165
(occ3_cleaners)_2018,0.09494180290981794
(occ3_cleaners)_2019,0.09024646583262727
(occ3_security)_2010,0.079063740310256
(occ3_security)_2011,0.06760276587686369
(occ3_security)_2012,0.06808904113757132
(occ3_security)_2013,0.06658007040386801
(occ3_security)_2014,0.0676051678273561
(occ3_security)_2015,0.0639761264928088
(occ3_security)_2016,0.06235422853303751
(occ3_security)_2017,0.0632940361112145
(occ3_security)_2018,0.06469115495047503
(occ3_security)_2019,0.0661828937525042
(occ3_service)_2010,0.4079663213381192
(occ3_service)_2011,0.35464115544437863
(occ3_service)_2012,0.357610935973456
(occ3_service)_2013,0.35550158830031414
(occ3_service)_2014,0.3514357794893715
(occ3_service)_2015,0.3481583652033182
(occ3_service)_2016,0.34552385387084195
(occ3_service)_2017,0.3411409111930917
(occ3_service)_2018,0.34278898132696184
(occ3_service)_2019,0.34488729109725785
