city_year,T_c
"(Augusta-Richmond County, GA-SC)_2013",0.9782639922729187
"(Augusta-Richmond County, GA-SC)_2014",1.0063680625383185
"(Augusta-Richmond County, GA-SC)_2015",1.0151388848457032
"(Augusta-Richmond County, GA-SC)_2016",0.9997418360512513
"(Augusta-Richmond County, GA-SC)_2017",0.9908887423370414
"(Augusta-Richmond County, GA-SC)_2018",1.0127373754579778
"(Augusta-Richmond County, GA-SC)_2019",0.9925007619331558
"(Austin-Round Rock, TX)_2011",0.9705424589093218
"(Austin-Round Rock, TX)_2012",1.0462098859432547
"(Austin-Round Rock, TX)_2013",1.0249396920995892
"(Austin-Round Rock, TX)_2014",1.0006722412795195
"(Austin-Round Rock, TX)_2015",1.005921592889488
"(Austin-Round Rock, TX)_2016",1.0184049826309889
"(Austin-Round Rock, TX)_2017",1.006783285313021
"(Austin-Round Rock, TX)_2018",1.0167148021746735
"(Austin-Round Rock, TX)_2019",1.0036195691574399
"(Bakersfield, CA)_2011",0.9924953886283974
"(Bakersfield, CA)_2012",0.9724989633260332
"(Bakersfield, CA)_2013",0.9949999744473235
"(Bakersfield, CA)_2014",0.9837889107310054
"(Bakersfield, CA)_2015",0.9809792585674
"(Bakersfield, CA)_2016",1.008343835933159
"(Bakersfield, CA)_2017",1.0022270638891344
"(Bakersfield, CA)_2018",0.9802242224588636
"(Bakersfield, CA)_2019",0.991350647239593
"(Baltimore-Columbia-Towson, MD)_2011",1.0303785539653176
"(Baltimore-Columbia-Towson, MD)_2012",0.9849537405474141
"(Baltimore-Columbia-Towson, MD)_2013",1.0022478612352084
"(Baltimore-Columbia-Towson, MD)_2014",1.0071986261221235
"(Baltimore-Columbia-Towson, MD)_2015",1.001356521622828
"(Baltimore-Columbia-Towson, MD)_2016",1.0043876393182414
"(Baltimore-Columbia-Towson, MD)_2017",0.9949240251476551
"(Baltimore-Columbia-Towson, MD)_2018",0.9987272837822215
"(Baltimore-Columbia-Towson, MD)_2019",0.9983997074266582
"(Bangor, ME)_2011",1.0523112779358939
"(Bangor, ME)_2012",0.9006772549928038
"(Bangor, ME)_2013",0.9884752225491581
"(Bangor, ME)_2014",1.0201437812166076
"(Bangor, ME)_2015",0.9991947011501313
"(Bangor, ME)_2016",0.9722039884279907
"(Bangor, ME)_2017",1.049653794672149
"(Bangor, ME)_2018",0.9590244037502635
"(Bangor, ME)_2019",1.0302057284170694
"(Barnstable Town, MA)_2011",1.0170615795650744
"(Barnstable Town, MA)_2012",1.0575074884043416
"(Barnstable Town, MA)_2013",0.9756433509552829
"(Barnstable Town, MA)_2014",0.9995402492685479
"(Barnstable Town, MA)_2015",1.0166240176234957
"(Barnstable Town, MA)_2016",1.000854818424219
"(Barnstable Town, MA)_2017",1.0113968482057347
"(Barnstable Town, MA)_2018",0.9791747001789382
"(Barnstable Town, MA)_2019",1.030561969203281
"(Baton Rouge, LA)_2011",0.9782254521886287
"(Baton Rouge, LA)_2012",0.9957373051008156
"(Baton Rouge, LA)_2013",0.9912214488013007
"(Baton Rouge, LA)_2014",1.0019991492744291
"(Baton Rouge, LA)_2015",1.0055305323610089
"(Baton Rouge, LA)_2016",0.9804245156253321
"(Baton Rouge, LA)_2017",1.0083910145981037
"(Baton Rouge, LA)_2018",0.9929352343748832
"(Baton Rouge, LA)_2019",1.001876602235063
"(Battle Creek, MI)_2011",1.0021557091612687
"(Beaumont-Port Arthur, TX)_2011",1.1012563585210884
"(Beaumont-Port Arthur, TX)_2012",0.9448891859797979
"(Beaumont-Port Arthur, TX)_2013",0.9829128128959618
"(Beaumont-Port Arthur, TX)_2014",0.9756432674051146
"(Beaumont-Port Arthur, TX)_2015",1.0028187446379375
"(Beaumont-Port Arthur, TX)_2016",1.0156200367113217
"(Beaumont-Port Arthur, TX)_2017",0.9882216072007576
"(Beaumont-Port Arthur, TX)_2018",0.9978245412149833
"(Beaumont-Port Arthur, TX)_2019",1.011643579383182
"(Bellingham, WA)_2011",0.9356970363209043
"(Bellingham, WA)_2012",1.016575093639095
"(Bellingham, WA)_2013",0.9980704238551428
"(Bellingham, WA)_2014",1.0160226180735383
"(Bellingham, WA)_2015",1.012762674092201
"(Bellingham, WA)_2016",1.0033482281170785
"(Bellingham, WA)_2017",1.0222578261956703
"(Bellingham, WA)_2018",0.9731571543035
"(Bellingham, WA)_2019",1.0343119451387406
"(Bend-Redmond, OR)_2011",0.9253245274926154
"(Bend-Redmond, OR)_2012",1.0047521387280458
"(Bend-Redmond, OR)_2013",1.003744699320247
"(Bend-Redmond, OR)_2014",0.9959915859405228
"(Bend-Redmond, OR)_2015",1.0653377037728946
"(Bend-Redmond, OR)_2016",1.0126559217158755
"(Bend-Redmond, OR)_2017",0.9894300464225554
"(Bend-Redmond, OR)_2018",1.040661934407878
"(Bend-Redmond, OR)_2019",1.0239825339932391
"(Billings, MT)_2011",0.9236640084485204
"(Binghamton, NY)_2011",1.0095863977272408
"(Binghamton, NY)_2012",0.9843357758944916
"(Binghamton, NY)_2013",0.9936275506904686
"(Binghamton, NY)_2014",0.974719828043505
"(Binghamton, NY)_2015",1.030407984942125
"(Binghamton, NY)_2016",0.991118913414053
"(Binghamton, NY)_2017",1.000075584840527
"(Binghamton, NY)_2018",0.990383362158248
"(Binghamton, NY)_2019",1.0118724294159611
"(Birmingham-Hoover, AL)_2011",0.9618074803983613
"(Birmingham-Hoover, AL)_2012",1.0568583114051575
"(Birmingham-Hoover, AL)_2013",0.9965179571435383
"(Birmingham-Hoover, AL)_2014",1.0061716062019928
"(Birmingham-Hoover, AL)_2015",0.9962994178800988
"(Birmingham-Hoover, AL)_2016",1.0070014348869245
"(Birmingham-Hoover, AL)_2017",0.9907582240579108
"(Birmingham-Hoover, AL)_2018",0.9963766367199528
"(Birmingham-Hoover, AL)_2019",1.0083646317362918
"(Bismarck, ND)_2013",1.0183200967090538
"(Bismarck, ND)_2014",1.0203802439051535
"(Bismarck, ND)_2015",0.9958911894618501
"(Bismarck, ND)_2016",1.0133934094570543
"(Bismarck, ND)_2017",1.005847737978906
"(Bismarck, ND)_2018",1.0014015249416188
"(Bismarck, ND)_2019",0.9744611440928158
"(Blacksburg-Christiansburg-Radford, VA)_2011",1.0307068414813747
"(Blacksburg-Christiansburg-Radford, VA)_2012",0.9265111103961345
"(Blacksburg-Christiansburg-Radford, VA)_2013",0.9923887652758439
"(Blacksburg-Christiansburg-Radford, VA)_2014",0.9671169717970187
"(Blacksburg-Christiansburg-Radford, VA)_2015",1.096073920145635
"(Blacksburg-Christiansburg-Radford, VA)_2016",0.9946115991381732
"(Blacksburg-Christiansburg-Radford, VA)_2017",1.001325347063396
"(Blacksburg-Christiansburg-Radford, VA)_2018",0.9598690909312292
"(Blacksburg-Christiansburg-Radford, VA)_2019",1.0082004713212949
"(Bloomington, IL)_2011",1.0602585941648364
"(Bloomington, IL)_2012",0.9654264845231569
"(Bloomington, IL)_2013",1.0084902523730854
"(Bloomington, IL)_2014",0.9846794144654264
"(Bloomington, IL)_2015",1.0113267858302535
"(Bloomington, IL)_2016",0.9824707125520841
"(Bloomington, IL)_2017",1.0103127076138692
"(Bloomington, IL)_2018",1.0278585074611484
"(Bloomington, IL)_2019",0.9729037046730115
"(Bloomington, IN)_2011",0.9997053608297756
"(Bloomington, IN)_2012",0.9359486262077794
"(Bloomington, IN)_2013",1.0441433186209708
"(Bloomington, IN)_2014",0.9959735476655495
"(Bloomington, IN)_2015",1.0332475116581348
"(Bloomington, IN)_2016",0.9834760239197922
"(Bloomington, IN)_2017",0.9941315128506225
"(Bloomington, IN)_2018",0.9986362898602398
"(Bloomington, IN)_2019",0.9999488701996327
"(Boise City, ID)_2011",0.9148052641457597
"(Boise City, ID)_2012",1.0858025924615649
