MET2013,occ2_cleric,occ2_constr,occ2_exec,occ2_farmer,occ2_finsales,occ2_mechanic,occ2_mgmtrel,occ2_mining,occ2_operator,occ2_otheragr,occ2_product,occ2_prof,occ2_retsales,occ2_tech,occ2_transp,occ3_beauty,occ3_clean,occ3_food,occ3_janitor,occ3_others,occ3_protect,occ3_recreation,occ3_shealth,other,city_total
"Akron, OH",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"Albany, OR",0.38697598888479395,0.5809475019310774,0.4176087062548783,0.47140452079093415,0.5897678246195848,0.4137283784938438,0.3485617981116159,0.0,0.4324255657551576,0.8660254037843597,0.3261640365266668,0.36316923312949023,0.32797823268549564,0.41169348479625834,0.5640760748177285,0.37796447300919755,0.4472135954999019,0.3823956264058404,0.520603531858124,0.5039526306789728,0.4999999999999858,0.3580574370196797,0.6153379369898926,0.49658062509954864,0.45091178085576283
"Albany-Schenectady-Troy, NY",1.18011815872496,1.1401754250991534,1.241669831442892,0.9428090415820564,1.6418441381303936,1.0266713466606687,1.1996884330727888,0.0,0.8064778385454979,1.3228756555322436,0.9225312080288784,1.3250191227584922,1.298175244003447,1.149797329230267,1.177439440635326,1.2955969390869468,1.1832159566199338,1.021005793415822,1.2035772226330665,1.3972762620115482,1.3601470508735642,1.51064598170826,1.2463539056995072,1.2129686122041685,1.2108208894990837
"Albuquerque, NM",0.9966666573918896,1.1180339887499209,1.0083142308458206,0.47140452079093415,1.4596008983995443,0.8594991208481296,0.7853804364169985,0.7071067811865476,0.6747477697966202,1.2247448713915519,0.7145896010104912,1.1018412109074753,0.8836721643369229,1.138687915757222,0.8854890790353515,0.9636241116594509,1.0645812948447677,0.9137317223218991,0.8700628401410837,0.9759000729485393,1.110555416597195,1.0127393670836593,1.157499816519508,1.0792626791505437,1.0233195929379557
"Allentown-Bethlehem-Easton, PA-NJ",1.0367618858670777,1.1456439237389728,1.0310576013809756,0.9428090415820564,1.0632190661423713,1.1429375776070705,0.9521250212418397,1.322875655532282,1.0457035597908968,1.499999999999985,0.9565007145952681,1.0694782764431419,1.005958344681854,1.1680782420972498,1.1981677931767614,1.052208561618313,0.9660917830793044,0.8605614665646206,1.0590067644273065,0.9428090415820692,0.9660917830793117,1.1094003924504634,1.1905778967187808,1.115028204828483,1.0777618924791963
"Amarillo, TX",0.6132209499391051,0.7905694150420949,0.6182145576837321,1.054092553389466,0.8075728530872509,0.6974858324629027,0.5206035318581527,0.8660254037844183,0.48973196584861944,0.8660254037843597,0.6604318380922626,0.6142453071023443,0.670968854111167,0.7010887416930833,0.6881023532039716,0.5976143046671717,0.7745966692414672,0.6479284842902714,0.6556725875435705,0.5909368402852615,0.9486832980505228,0.5547001962251986,0.6231769528497536,0.7339076268791676,0.675391712670488
"Anchorage, AK",0.6279671663894704,0.7416198487095506,0.6658931814698077,0.5773502691895576,0.691564074808093,0.7710996009560488,0.6190133844218919,1.8708286933869707,0.4553208464047326,1.93649167310372,0.46126560401440775,0.6534730499622978,0.5819324860554317,0.7306834506711763,0.7487363091276243,0.731925054711405,0.7958224257542201,0.590810124975502,0.8372183582789103,0.6900655593423405,0.6952217871537818,0.5547001962251986,0.6609789738588185,0.736996595531957,0.6892671790683914
"Ann Arbor, MI",0.6615164346744629,0.7245688373094639,0.7385489458759772,0.6666666666666174,0.8597269536210824,0.545249756806241,0.641260441061993,0.49999999999996475,0.5410017808004318,1.0606601717797675,0.5157106231293672,0.9597296916742171,0.6054204031429864,0.7591252771714849,0.5573204290226866,0.5,0.7958224257542201,0.792059650888755,0.619013384421874,0.8067178260046208,0.5627314338711488,0.8006407690254146,0.7820808688600533,0.7007990954334092,0.7301621309987268
"Anniston-Oxford-Jacksonville, AL",0.34851718220126965,0.4031128874149058,0.3251943902739289,0.0,0.36115755925725307,0.4244763599779738,0.2557744333346265,0.0,0.4463036991442988,0.0,0.3261640365266668,0.322154906502677,0.4507629654219534,0.35653701640613694,0.4395245364957327,0.46291004988626766,0.6324555320336461,0.3568732135731349,0.41015155621477917,0.2519763153394864,0.48304589153962635,0.16012815380508827,0.3941317112657159,0.43731371793892,0.39514357494942526
"Asheville, NC",0.77823983317274,0.9937303457175924,0.9347943331391237,1.2472191289246735,1.6016296049038237,0.8853156407653607,0.8316181726289684,0.8660254037844183,0.6984302957695803,1.499999999999985,0.8186652343647215,0.9088156831535986,0.8904092796343472,0.8972651479705906,0.7905694150420867,0.8660254037844386,1.1105554165971947,0.8550626149421464,0.9570202978345326,0.9511897312113282,0.6952217871537818,1.0621700090875763,0.8922536101660499,0.9973115451304188,0.9244300147050389
