MET2013,occ2_cleric,occ2_constr,occ2_exec,occ2_farmer,occ2_finsales,occ2_mechanic,occ2_mgmtrel,occ2_mining,occ2_operator,occ2_otheragr,occ2_product,occ2_prof,occ2_retsales,occ2_tech,occ2_transp,occ3_beauty,occ3_clean,occ3_food,occ3_janitor,occ3_others,occ3_protect,occ3_recreation,occ3_shealth,other,city_total
30020.0,0.0004072897459252,0.0004504601128295,0.0002637619583968,0.0003760105282947,0.0001296232284825,0.0004134794293983,0.0002504069112307,0.0021291696238466,0.0004539639305022,0.0002738413089614,0.0001924345722454,0.0002264047142962,0.0002225989281005,0.00049796521112,0.0003061737754871,0.0001364349546353,0.0003726377428799,0.0004720745428182,0.0006738819685521,0.0005098951528092,0.0003222310103406,0.0002095557418273,0.0003437725600742,0.0004692767460795,0.000385073952578
30140.0,0.0003369396989017,0.0002574057787597,0.0003029698170775,0.0010340289528106,0.00017283097131,0.0006014246245794,0.000333875881641,0.0003548616039744,0.0004333292063885,0.0004792222906825,0.0003573784913129,0.0002412162376614,0.000376705878324,0.0004807939969435,0.0004519708114334,0.0002728699092707,0.0005855735959542,0.0003709157122143,0.0003471513171329,0.0005098951528092,0.0002050560974895,0.0008906119027661,0.0003437725600742,0.000387350943548,0.0003634339229105
30340.0,0.0003369396989017,0.000278856260323,0.0002031679949813,9.400263207369808e-05,0.00017283097131,0.0003383013513259,0.0002504069112307,0.0,0.0002166646031942,0.0004107619634421,0.0002749065317791,0.0002010135313845,0.0002996524032122,0.0002575682126483,0.0003790722934602,0.0001364349546353,0.0002129358530742,0.0003034764918117,0.0004288339799877,0.0003186844705057,8.788118463836892e-05,0.0003143336127409,0.0002750180480594,0.0002551198236726,0.0002590874784859
30620.0,0.000385073941602,0.0003003067418863,0.0002566332568186,9.400263207369808e-05,8.641548565502938e-05,0.0004698629879527,0.0002086724260256,0.0,0.000629359085469,0.000205380981721,0.0006322850230921,0.0002602596248452,0.0003167753976815,0.0004807939969435,0.0004301012560414,6.821747731768879e-05,0.0002661698163428,0.0003147163618788,0.0003879926485603,0.0005736320469103,0.0002636435539151,0.0002619446772841,0.0004984702121076,0.0003456693948917,0.0003429796482931
30700.0,0.0008071742237427,0.0008580192625324,0.0007485136657209,0.0009400263207369,0.0006481161424127,0.0010149040539778,0.000855556946705,0.0007097232079489,0.000866658412777,0.0008215239268843,0.0009621728612271,0.0008421408999058,0.0005479358230167,0.0007898758521215,0.0007800141423124,0.0007503922504945,0.0007985094490284,0.0010565477863075,0.0010618746171125,0.0010516587526689,0.0007030494771069,0.0011001676445934,0.0007906768881707,0.0005785111494549,0.0007224212643824
30780.0,0.0018846407334177,0.001522984190995,0.0017857397453627,0.0006580184245158,0.0018147251987556,0.0020298081079557,0.0015441759525896,0.0007097232079489,0.001413478601791,0.0017115081810091,0.0021717616010556,0.0017921943271865,0.0019177753805585,0.0021807442004224,0.0017422745795577,0.0015690019783068,0.0017567207878626,0.0015848216794613,0.001572391259955,0.0010516587526689,0.002079854703108,0.0013097233864207,0.0016672969163601,0.0020114940463656,0.0018648962553262
31080.0,0.0395959685720421,0.0318110641583903,0.0410791428449222,0.0028200789622109,0.0435101970273072,0.0273460258988478,0.0454488543883811,0.010290986515259,0.0388964549543972,0.0232765112617238,0.0323564987904112,0.0413897440780355,0.0410951867262546,0.0351494754194069,0.0362086938772534,0.0540964595129272,0.0564812350279478,0.0411042048353921,0.0355319583418419,0.0452531948118168,0.0335120250754313,0.041020536462699,0.0509986592870157,0.0370671137611632,0.0385984019579187
31140.0,0.0044283503284236,0.0035607799395096,0.0040740529519953,0.0018800526414739,0.0045800207397165,0.0036649313060311,0.0045490588873586,0.0017743080198722,0.0062626387685196,0.0017799685082494,0.0039861447107983,0.0040731689254239,0.0038184277666478,0.0041382626165496,0.0043155922640092,0.0044341360256497,0.0025019962736225,0.0031808832289898,0.003839085154176,0.003824213646069,0.0041597094062161,0.0027242246437552,0.0032142734366942,0.0037642750321055,0.0039583467965938
31180.0,0.0011996534334525,0.0013513803384885,0.0011798001112077,0.0010340289528106,0.0009937780850328,0.0011088766515684,0.0010433621301281,0.0014194464158978,0.0008253889645495,0.0004107619634421,0.0010721354739388,0.0012483998264935,0.0015496309994691,0.0015625804900664,0.0010643183624076,0.0007503922504945,0.0012776151184455,0.0013825040182535,0.0009801919542577,0.001274737882023,0.0011424554002987,0.0009953897736797,0.0009625631682079,0.0011749884836755,0.0011836799789409
31340.0,0.0008886321729278,0.0005148115575194,0.0008126719799255,0.0006580184245158,0.0004320774282751,0.001052493093014,0.0006051500354743,0.0007097232079489,0.0012071313606537,0.000205380981721,0.0007697382889817,0.0007405761682589,0.001010256673687,0.0007383622095918,0.0006852460689474,0.0006139572958591,0.0003726377428799,0.0009104294754352,0.0007964059628343,0.0011472640938207,0.0007909306617453,0.0011525565800502,0.001254769844271,0.0008566276896276,0.0008404038918852
31460.0,0.0003147238945786,0.0003646581865762,0.0003350489741798,0.0008460236886632,0.0001296232284825,0.0004510684684346,0.0002086724260256,0.0,0.0004333292063885,0.0041760799616622,0.0003573784913129,0.0002687233524825,0.000376705878324,0.0002060545701186,0.0005102896258119,0.0002728699092707,0.0010646792653713,0.0004608346727511,0.0007147232999795,0.000446158258708,0.0005858745642557,0.0004191114836546,0.0006187906081336,0.0005375482481891,0.0004556263780696
31860.0,0.0004035871118713,0.0003861086681395,0.0003350489741798,0.0032900921225794,0.000259246456965,0.0004698629879527,0.0004382120946538,0.0,0.0004539639305022,0.0005476826179229,0.0005223224103804,0.0003956792670411,0.0004880053423742,0.0004292803544138,0.000466550515028,0.000204652431953,0.0004258717061485,0.0004608346727511,0.0005309373085562,0.0005417635998597,0.0004686996514046,0.0001571668063704,0.0003609611880779,0.0003241099731728,0.0003847775138155
31900.0,0.0002406712135012,0.0003217572234496,0.0002459402044511,0.0003760105282947,4.320774282751469e-05,0.000357095870844,0.0001252034556153,0.0003548616039744,0.0007118979819239,0.0004107619634421,0.0005223224103804,0.0002242887823869,0.0002739679115083,0.0003605954977076,0.0003353331826763,0.0004775223412238,0.0004258717061485,0.0004046353224156,0.0003675719828466,0.0002549475764046,0.0003808184667662,0.0001047778709136,0.0004469043280965,0.0003808831170324,0.0003340864854161
