occupation,coefficient
occ2_constr,1.0697307410149945
occ2_exec,1.5550041568006419
occ2_farmer,0.48416814769153815
occ2_finsales,1.2250730580564626
occ2_mechanic,1.193029582189702
occ2_mgmtrel,1.3859195665445676
occ2_mining,0.6963530234032237
occ2_operator,1.0216656894316567
occ2_otheragr,0.7172707499320182
occ2_product,1.156364073750161
occ2_prof,1.3860357556078713
occ2_retsales,0.851042227068841
occ2_tech,1.220104790766654
occ2_transp,0.9832698288109931
occ3_beauty,0.5801997983536195
occ3_child,0.4334593348174216
occ3_clean,0.5272911351759402
occ3_food,0.6570176534662346
occ3_janitor,0.8350366964422145
occ3_others,0.41389961570554357
occ3_protect,1.1275729475445455
occ3_recreation,0.8208592712078567
occ3_shealth,0.8376939328831259
