COMZONE,coefficient
"Spartanburg County, SC",0.7806525029243844
"Spokane County, WA",1.297133913526665
"St. Joseph County, IN",1.3345369082591219
"St. Lawrence County, NY",0.9848968585347379
"St. Louis County, MO",1.7987672406135058
"Stanislaus County, CA",1.4837913725949223
"Stark County, OH",0.9943781178131003
"Stearns County, MN",1.4492272720363548
"Sullivan County, TN",0.9973907614964374
"Tarrant County, TX",1.8582161697424406
"Taylor County, TX",1.152799030055505
"Terrebonne Parish, LA",1.3201402061875447
"Tippecanoe County, IN",0.9669721623429205
"Tom Green County, TX",1.356981764484902
"Tompkins County, NY",0.8838985093640507
"Travis County, TX",2.018770132047514
"Vanderburgh County, IN",1.2267045407308084
"Vigo County, IN",0.9257527294313498
"Virginia Beach City, VA",1.5615155594043924
"Wake County, NC",1.6273255157918864
"Warren County, KY",1.050985518875606
"Washington County, AR",1.6298006266661906
"Washoe County, NV",2.1183250879379383
"Wayne County, MI",1.7776771756219674
"Wayne County, NC",1.357969377510663
"Webb County, TX",0.9914116603551496
"Westchester County, NY",2.3739665881551892
"Whitfield County, GA",1.2151839215267297
"Wichita County, TX",1.0171127424619715
"Winnebago County, IL",1.022658564579776
"Winnebago County, WI",1.5704924180704387
"Yakima County, WA",1.4381558881693157
"Yuma County, AZ",1.1743725508842449
