COMZONE,occ2_cleric,occ2_constr,occ2_exec,occ2_farmer,occ2_finsales,occ2_mechanic,occ2_mgmtrel,occ2_mining,occ2_operator,occ2_otheragr,occ2_product,occ2_prof,occ2_retsales,occ2_tech,occ2_transp,occ3_beauty,occ3_child,occ3_clean,occ3_food,occ3_janitor,occ3_others,occ3_protect,occ3_recreation,occ3_shealth
"Alachua County, FL",0.9146978863723523,0.9912409384712606,0.9259512255982901,0.8626121454053304,0.8429263047622226,1.169736950164456,1.402699565566781,3.297736148576929,1.4485961882096348,1.2087815607401813,1.147116659791836,0.7299840970208757,1.9013410959945278,1.012086568877721,1.499510975206574,0.5902026060451004,0.7560103928748789,0.2237320358810115,1.0592182051818384,0.7616681801779356,0.403640700207511,1.3293487258455712,2.191225743570522,0.7556283213014001
"Alameda County, CA",1.0372677482992185,1.1500644624962393,0.8274457858114608,0.49289743999528096,0.7698776986110366,1.3146514359939818,0.8430863943988322,1.4354010677811273,1.3845797546466725,1.2390148178554343,1.2261155265747248,1.0337667816355052,0.7265092528067799,0.4884947049778245,1.6032917055268592,1.4676754524399966,1.3314201246905697,0.9496145640268165,0.8178311298259889,1.0672576242233929,0.9174099710264931,0.7943215689460278,0.8932423796339407,1.2864608611106758
"Albany County, NY",0.8625164640837937,0.843593422481065,0.9637015745493966,1.870889168508005,0.857409486645916,0.9199308536786857,1.052298476074852,2.31718598226139,1.0293459474558013,0.8766990921813879,0.9147212033745838,1.0249480481629796,1.0562863571632508,1.0111335502007488,0.903471032196432,0.9165060470482935,0.9448797629952036,0.7607305252151292,1.1372788298187948,0.9048171372400327,1.0686314467584137,0.8461117007041069,0.9581725756124941,0.826587178739835
"Allegheny County, PA",0.9440002386432448,0.9336380798151692,0.8573293943308461,2.6174300329758244,0.8832963859064166,0.992250845560838,0.8642461254163899,0.8413297287568063,0.9053066630535889,1.2940467739471098,1.1321668304451153,0.865536329029804,0.7430185849969058,0.9131162815164084,0.9531520091617067,0.8839739559703368,0.7222601481286606,1.0510287834928285,1.1145797186555975,0.9342594410755088,1.1577535350431296,1.2425981664945989,1.032959031002816,1.0292225687060244
"Allen County, IN",0.9522940016765269,0.8090190205108683,0.9832560937048717,0.5108504517725495,0.9380966013049318,0.8712665244349467,0.9405735375811112,3.715852122218472,0.8116328573184853,1.0193553383147482,0.8882176583285435,1.1061554551057111,0.6368889833099673,1.0559333541882112,0.7450761941347083,0.7525765144772911,1.0003174304396452,1.6097430612776027,0.9652130756705805,0.9602801034985611,2.1051967843929194,0.9542314567701538,1.0282060559528077,0.9572944203480026
"Allen County, OH",0.8293200337893452,0.7158138724751822,0.8688661382445296,1.5981464491098167,1.3042553339057021,0.8299193641137526,1.3749943539939014,0.2544127436161706,0.5739298534863164,0.9017729205954893,0.5443783366922168,0.8744226084404175,1.6962664657956363,1.4194543969436606,0.6875401864306614,1.7075895867006314,2.5959123104494664,0.5325366834849771,1.0418242326019977,0.7869406101448957,2.9764702793849374,0.9443954262599688,1.1826536598151873,1.2209719916511224
"Anchorage Borough, AK",1.0044227658330895,0.7602864081141669,1.1105287562872574,0.7781352267912207,1.7438290840318624,1.0336030008992343,1.4106972080196052,0.5119816493991002,1.7007008151728027,1.7599468192841303,1.2325542252613897,1.0053075973480572,1.7093659703221105,0.7803811450144598,1.1710827451379477,0.8571468120007764,1.7034629879505243,0.3932468982880402,1.0622701907226764,1.8843389575075749,0.4999418610621084,0.8555796013546815,0.7196036990533027,0.5679276820337924
"Baltimore County, MD",0.9237315537139767,0.9844079240443162,0.9195326970034248,1.352332097366698,0.9221278555525545,1.075903039862849,0.8500607640321541,1.4077669870603418,1.0850196585982128,1.0316051127780255,1.167312857225994,0.965526596447976,0.760911482521033,0.7742957821695347,1.3467950839193232,0.6981774758857566,0.789924844249736,0.7507361749071332,1.1714169228231284,1.2907056054240515,1.40956227846342,0.9259466842797928,0.9739865748907662,0.9350558381466314
"Bell County, TX",1.0056400251896072,1.0944075733141487,1.4180812512008496,0.6381902324494442,1.0698694601042231,1.1196992554628673,1.1658641401066143,0.4337665525971402,1.101712819372162,1.314536832790435,0.8977079569533047,0.9650018950192183,1.8254675648647802,1.078082047048833,0.7668680572884731,1.2073608979612547,0.624740299346759,1.0278629673340272,1.1578163146460865,0.9631236841228796,0.8173762259138948,1.179593926033228,0.9630335189546796,1.0903110495171373
"Berks County, PA",0.970589656202325,0.7522997981951132,1.117504155449477,0.7615756020847632,1.2293442796962462,0.9539178772131098,0.928981155086008,1.0811623194905595,0.9176846932707223,0.9208366766617415,0.9521375735309043,1.152031533270977,1.0778663930620787,1.1397585999708244,0.7771354635571277,1.0439209055369558,0.7449252930388887,0.8451086789691794,1.3468779471077195,1.0090844343651197,1.4257586190912825,0.9303735310470713,1.3412019400085284,0.9715564817198075
"Berkshire County, MA",1.1865837880859635,1.020728933868721,0.9894450523916155,0.695082273042654,0.7795602792114598,1.3487777384945505,1.4003211073533492,0.8635982730043824,1.4092981224898449,0.7927351155166262,1.3100601332560415,1.317095421390311,1.4412403307251374,1.1282617087790143,1.128870323144824,1.021081346881536,0.5733854378149138,1.4357963072985207,0.8114471490452614,0.7342756351372967,0.28085253148486994,1.0226721479285164,2.0345983283856715,0.9115728489320655
