2.012499250455214508e+02,1.800458045620889322e+02,3.459884819762306734e+02,7.808480756805933254e+01,7.293736973958961300e+01
2.020927891452585357e+02,1.480283746086155645e+02,2.146424704425893424e+02,4.245660793775729758e+01,6.385404995039345266e+01
2.608409538421461775e+02,1.878561232185675749e+02,3.836034433678806295e+02,9.376736175289140363e+01,1.141173527891108819e+02
3.463212339167225196e+02,5.855715916611087550e+02,5.595548453519884333e+02,1.293096172070857222e+02,2.313070093978962234e+02
9.942786828985443037e+01,1.526463346224668385e+02,9.876879171833606108e+01,4.109024252042777903e+01,7.143680666728920414e+01
1.656432757082905596e+02,1.513899791617771484e+02,1.914877440407247207e+02,5.668201206650076074e+01,4.330513213071869671e+01
3.437173130151599594e+02,3.799513073200557756e+02,7.143573600550206493e+02,1.929151303635728425e+02,1.114531126630627114e+02
2.928808829850651705e+02,2.543708705913675203e+02,3.170759494198289872e+02,1.336919562030505801e+02,1.619371944835739328e+02
1.428152074850082727e+02,9.664182803736706262e+01,1.517598235482437303e+02,5.462620342821293207e+01,6.937911705340093249e+01
2.117268690519788947e+02,2.346522578349596984e+02,2.423557923965005614e+02,7.276051449358678269e+01,1.364106728824916672e+02
