2.106109066427551760e-02,1.939727296491174785e-02,2.986715515123582534e-02,1.481948291349986270e-02,1.278829126603381848e-02
2.113667401898609161e-02,1.640026753826324610e-02,1.983666822503813223e-02,8.790525441423746936e-03,1.141044372379601546e-02
2.630446504857052517e-02,2.011631398568281687e-02,3.262959882417638957e-02,1.733657014193323506e-02,1.876905704375476588e-02
3.353873075085818389e-02,5.330484338785827086e-02,4.509714178370834159e-02,2.283507459675781018e-02,3.439106991456970103e-02
1.150800544219180224e-02,1.683784188427663725e-02,1.019833730478170337e-02,8.547473422513293326e-03,1.256244512538400721e-02
1.782375544244119495e-02,1.671898568572250179e-02,1.798772132350819064e-02,1.126124050216769160e-02,8.179865814918644423e-03
3.332246768786375352e-02,3.679176508566460446e-02,5.559920916686997977e-02,3.217499938467185960e-02,1.839283218988654878e-02
2.905071510440279670e-02,2.608461454676498995e-02,2.771466074573487870e-02,2.349682096455121480e-02,2.533516961848926094e-02
1.569638951010724620e-02,1.137955713250231489e-02,1.473731243664075548e-02,1.091023304960853091e-02,1.225164027940747226e-02
2.199745808749011336e-02,2.434153018158980580e-02,2.201265929349241132e-02,1.394902355840100389e-02,2.187097604954924349e-02
